kid,chunks,err,tot,miss,geno,phaserate,genorate
1,5,657,7489,0,263,0.087728668714114,0.0351181733208706
2,5,1541,7489,0,190,0.205768460408599,0.0253705434637468
3,5,2463,7489,0,185,0.328882360795834,0.0247028975831219
4,5,190,7489,0,77,0.0253705434637468,0.0102817465616237
5,5,251,7489,0,162,0.0335158232073708,0.0216317265322473
6,5,886,7489,0,782,0.118306850046735,0.104419815729737
7,5,2352,7489,0,64,0.314060622245961,0.00854586727199893
8,5,379,7489,0,238,0.0506075577513687,0.031779943917746
9,5,408,7489,0,333,0.0544799038589932,0.0444652156496194
10,5,162,7489,0,53,0.0216317265322473,0.00707704633462412
1,4,1095,7391,0,985,0.148153159247734,0.133270193478555
2,4,885,7391,0,743,0.119740224597483,0.100527668786362
3,4,150,7391,0,0,0.0202949533216074,0
4,4,258,7391,0,131,0.0349073197131647,0.0177242592342038
5,4,187,7391,0,57,0.0253010418076038,0.0077120822622108
6,4,363,7391,0,224,0.0491137870382898,0.0303071302936003
7,4,345,7391,0,231,0.0466783926396969,0.0312542281152753
8,4,150,7391,0,0,0.0202949533216074,0
9,4,532,7391,0,464,0.0719794344473008,0.0627790556081721
10,4,570,7391,0,460,0.077120822622108,0.0622378568529292
1,1,343,7515,0,261,0.0456420492348636,0.0347305389221557
2,1,1593,7515,0,287,0.211976047904192,0.0381902860944777
3,1,2300,7515,0,513,0.306054557551564,0.0682634730538922
4,1,1526,7515,0,310,0.203060545575516,0.0412508316699933
5,1,1137,7515,0,163,0.151297405189621,0.0216899534264804
6,1,284,7515,0,262,0.0377910844976713,0.0348636061210911
7,1,1090,7515,0,5,0.145043246839654,0.000665335994677312
8,1,1660,7515,0,119,0.220891550232868,0.01583499667332
9,1,1854,7515,0,251,0.246706586826347,0.0333998669328011
10,1,331,7515,0,82,0.0440452428476381,0.0109115103127079
1,4,156,7264,0,25,0.0214757709251101,0.00344162995594714
2,4,1981,7264,0,434,0.272714757709251,0.0597466960352423
3,4,536,7264,0,143,0.0737885462555066,0.0196861233480176
4,4,138,7264,0,26,0.0189977973568282,0.00357929515418502
5,4,281,7264,0,148,0.0386839207048458,0.020374449339207
6,4,549,7264,0,452,0.0755781938325991,0.0622246696035242
7,4,2907,7264,0,122,0.400192731277533,0.016795154185022
8,4,839,7264,0,130,0.115501101321586,0.0178964757709251
9,4,1635,7264,0,145,0.225082599118943,0.0199614537444934
10,4,139,7264,0,8,0.0191354625550661,0.00110132158590308
1,1,425,7702,0,414,0.0551804726045183,0.0537522721371072
2,1,47,7702,0,31,0.00610231108802908,0.00402492858997663
3,1,130,7702,0,119,0.0168787327966762,0.0154505323292651
4,1,199,7702,0,185,0.0258374448195274,0.0240197351337315
5,1,45,7702,0,37,0.00584263827577253,0.0048039470267463
6,1,202,7702,0,192,0.0262269540379122,0.0249285899766294
7,1,24,7702,0,12,0.00311607374707868,0.00155803687353934
8,1,150,7702,0,139,0.0194754609192418,0.0180472604518307
9,1,164,7702,0,157,0.0212931706050377,0.0203843157621397
10,1,135,7702,0,126,0.0175279148273176,0.0163593871721631
1,26,939,6889,0,807,0.136304253157207,0.117143271882712
2,26,328,6889,0,42,0.0476121352881405,0.00609667586006677
3,26,672,6889,0,473,0.0975468137610684,0.0686601829002758
4,26,388,6889,0,120,0.056321672231093,0.0174190738859051
5,26,328,6889,0,21,0.0476121352881405,0.00304833793003339
6,26,676,6889,0,415,0.0981274495572652,0.0602409638554217
7,26,717,6889,0,517,0.104078966468283,0.075047176658441
8,26,348,6889,0,73,0.0505153142691247,0.0105966032805922
9,26,1318,6889,0,14,0.191319494846857,0.00203222528668892
10,26,932,6889,0,718,0.135288140513863,0.104224125417332
1,6,326,7347,0,230,0.0443718524567851,0.0313052946780999
2,6,207,7347,0,84,0.0281747652102899,0.0114332380563495
3,6,239,7347,0,117,0.0325302844698516,0.0159248672927726
4,6,990,7347,0,886,0.134748877092691,0.120593439499115
5,6,173,7347,0,119,0.0235470259970056,0.0161970872464952
6,6,1785,7347,0,6,0.242956308697428,0.000816659861167824
7,6,126,7347,0,0,0.0171498570845243,0
8,6,132,7347,0,48,0.0179665169456921,0.00653327888934259
9,6,1718,7347,0,322,0.23383694024772,0.0438274125493399
10,6,649,7347,0,532,0.0883353749829863,0.0724105076902137
1,24,501,6686,0,167,0.0749326951839665,0.0249775650613222
2,24,494,6686,0,191,0.0738857313790009,0.0285671552497757
3,24,589,6686,0,278,0.0880945258749626,0.0415794196829195
4,24,1085,6686,0,1029,0.162279389769668,0.153903679329943
5,24,396,6686,0,32,0.0592282381094825,0.00478612025127131
6,24,1586,6686,0,237,0.237212084953634,0.0354472031109782
7,24,1062,6686,0,608,0.158839365839067,0.090936284774155
8,24,386,6686,0,32,0.0577325755309602,0.00478612025127131
9,24,423,6686,0,112,0.0632665270714927,0.0167514208794496
10,24,488,6686,0,141,0.0729883338318875,0.0210888423571642
1,1,188,7585,0,163,0.0247857613711272,0.0214897824653922
2,1,583,7585,0,243,0.0768622280817403,0.0320369149637442
3,1,61,7585,0,40,0.00804218852999341,0.005273566249176
4,1,5210,7585,0,35,0.686882003955175,0.004614370468029
5,1,2042,7585,0,138,0.269215557020435,0.0181938035596572
6,1,141,7585,0,122,0.0185893210283454,0.0160843770599868
7,1,4609,7585,0,116,0.607646671061305,0.0152933421226104
8,1,385,7585,0,367,0.0507580751483191,0.0483849703361898
9,1,1821,7585,0,810,0.240079103493738,0.106789716545814
10,1,2937,7585,0,390,0.387211601845748,0.0514172709294661
1,3,139,7461,0,98,0.0186302104275566,0.0131349685028817
2,3,319,7461,0,299,0.0427556627797882,0.0400750569628736
3,3,199,7461,0,172,0.0266720278783005,0.0230532100254658
4,3,53,7461,0,12,0.00710360541482375,0.00160836349014877
5,3,1054,7461,0,278,0.141267926551401,0.0372604208551133
6,3,2270,7461,0,66,0.30424876021981,0.00884599919581825
7,3,135,7461,0,83,0.0180940892641737,0.0111245141401957
8,3,137,7461,0,105,0.0183621498458652,0.0140731805388018
9,3,52,7461,0,9,0.00696957512397802,0.00120627261761158
10,3,544,7461,0,291,0.0729124782200777,0.0390028146361078
