id,WGS
PC_I11_ID2,yes
PC_I50_ID2,yes
PC_I55_ID2,yes
PC_I58_ID2,yes
PC_J07_ID2,yes
PC_J14_ID2,yes
PC_J48_ID2,yes
PC_K55_ID2,yes
PC_L06_ID2,yes
PC_L12_ID2,yes
PC_L48_ID2,yes
PC_N03_ID2,yes
PC_N07_ID2,yes
PC_N10_ID2,yes
PC_N14_ID2,yes
PC_N57_ID2,yes
PC_N58_ID2,yes
PC_O08_ID2,yes
PC_O51_ID2,yes
